,team_name,team_id,pass_area,season,succ,unsucc,succ_rate_22,succ_rate_21,change_in_succ
0,Arsenal,13,Attacking-third,2022_2023,324,277,0.5391014975041597,0.5042573320719016,0.0348441654322581
1,Arsenal,13,Defensive-third,2022_2023,95,201,0.32094594594594594,0.2909356725146199,0.030010273431326062
2,Arsenal,13,Middle-third,2022_2023,289,190,0.6033402922755741,0.5083532219570406,0.09498707031853348
3,Aston Villa,24,Attacking-third,2022_2023,189,285,0.3987341772151899,0.4379157427937916,-0.039181565578601696
4,Aston Villa,24,Defensive-third,2022_2023,141,319,0.3065217391304348,0.3241469816272966,-0.017625242496861815
5,Aston Villa,24,Middle-third,2022_2023,257,242,0.5150300601202404,0.4863498483316481,0.028680211788592314
6,Bournemouth,183,Attacking-third,2022_2023,162,214,0.4308510638297872,,
7,Bournemouth,183,Defensive-third,2022_2023,170,279,0.37861915367483295,,
8,Bournemouth,183,Middle-third,2022_2023,189,206,0.47848101265822784,,
9,Brentford,189,Attacking-third,2022_2023,161,307,0.344017094017094,0.3939393939393939,-0.049922299922299906
10,Brentford,189,Defensive-third,2022_2023,161,333,0.3259109311740891,0.31798715203426126,0.007923779139827836
11,Brentford,189,Middle-third,2022_2023,203,299,0.4043824701195219,0.44402634054562556,-0.03964387042610368
12,Brighton,211,Attacking-third,2022_2023,315,295,0.5163934426229508,0.47114474929044464,0.045248693332506196
13,Brighton,211,Defensive-third,2022_2023,126,226,0.35795454545454547,0.2571428571428571,0.10081168831168835
14,Brighton,211,Middle-third,2022_2023,237,214,0.5254988913525499,0.5111583421891605,0.014340549163389449
15,Chelsea,15,Attacking-third,2022_2023,223,285,0.4389763779527559,0.48063380281690143,-0.04165742486414553
16,Chelsea,15,Defensive-third,2022_2023,112,213,0.3446153846153846,0.4085820895522388,-0.06396670493685419
17,Chelsea,15,Middle-third,2022_2023,271,226,0.545271629778672,0.5706860706860707,-0.02541444090739864
18,Crystal Palace,162,Attacking-third,2022_2023,159,210,0.43089430894308944,0.4454244762954796,-0.014530167352390155
19,Crystal Palace,162,Defensive-third,2022_2023,166,340,0.32806324110671936,0.3188854489164087,0.009177792190310674
20,Crystal Palace,162,Middle-third,2022_2023,216,228,0.4864864864864865,0.4650900900900901,0.0213963963963964
21,Everton,31,Attacking-third,2022_2023,163,236,0.40852130325814534,0.4075471698113208,0.0009741334468245655
22,Everton,31,Defensive-third,2022_2023,151,311,0.3268398268398268,0.32320777642770354,0.0036320504121232777
23,Everton,31,Middle-third,2022_2023,238,241,0.4968684759916493,0.44472361809045224,0.05214485790119705
24,Fulham,170,Attacking-third,2022_2023,213,307,0.4096153846153846,,
25,Fulham,170,Defensive-third,2022_2023,134,274,0.3284313725490196,,
26,Fulham,170,Middle-third,2022_2023,208,259,0.44539614561027835,,
27,Leeds,19,Attacking-third,2022_2023,216,242,0.47161572052401746,0.4182879377431907,0.05332778278082678
28,Leeds,19,Defensive-third,2022_2023,84,287,0.22641509433962265,0.288,-0.06158490566037733
29,Leeds,19,Middle-third,2022_2023,264,287,0.4791288566243194,0.44957587181903863,0.02955298480528079
30,Leicester,14,Attacking-third,2022_2023,193,228,0.4584323040380047,0.4727932285368803,-0.014360924498875549
31,Leicester,14,Defensive-third,2022_2023,95,227,0.2950310559006211,0.31378299120234604,-0.01875193530172492
32,Leicester,14,Middle-third,2022_2023,293,290,0.5025728987993139,0.4671689989235737,0.035403899875740164
33,Liverpool,26,Attacking-third,2022_2023,283,354,0.44427001569858715,0.49389416553595655,-0.0496241498373694
34,Liverpool,26,Defensive-third,2022_2023,138,247,0.35844155844155845,0.36645962732919257,-0.008018068887634122
35,Liverpool,26,Middle-third,2022_2023,323,329,0.495398773006135,0.5667870036101083,-0.07138823060397326
36,Man City,167,Attacking-third,2022_2023,369,369,0.5,0.48273572377158036,0.01726427622841964
37,Man City,167,Defensive-third,2022_2023,68,113,0.3756906077348066,0.3424657534246575,0.0332248543101491
38,Man City,167,Middle-third,2022_2023,250,180,0.5813953488372093,0.5894039735099338,-0.008008624672724451
39,Man Utd,32,Attacking-third,2022_2023,248,236,0.512396694214876,0.45808383233532934,0.05431286187954665
40,Man Utd,32,Defensive-third,2022_2023,95,241,0.28273809523809523,0.32679738562091504,-0.044059290382819805
41,Man Utd,32,Middle-third,2022_2023,216,248,0.46551724137931033,0.518140589569161,-0.05262334818985065
42,Newcastle,23,Attacking-third,2022_2023,277,310,0.47189097103918226,0.37997256515775035,0.09191840588143191
43,Newcastle,23,Defensive-third,2022_2023,96,221,0.3028391167192429,0.3418708240534521,-0.03903170733420919
44,Newcastle,23,Middle-third,2022_2023,263,324,0.44804088586030666,0.4280742459396752,0.019966639920631468
45,Nottingham Forest,174,Attacking-third,2022_2023,146,229,0.3893333333333333,,
46,Nottingham Forest,174,Defensive-third,2022_2023,129,360,0.26380368098159507,,
47,Nottingham Forest,174,Middle-third,2022_2023,189,261,0.42,,
48,Southampton,18,Attacking-third,2022_2023,193,261,0.4251101321585903,0.4155844155844156,0.00952571657417467
49,Southampton,18,Defensive-third,2022_2023,173,346,0.3333333333333333,0.27524038461538464,0.05809294871794868
50,Southampton,18,Middle-third,2022_2023,199,291,0.4061224489795918,0.45584988962472406,-0.04972744064513224
51,Tottenham,30,Attacking-third,2022_2023,251,288,0.46567717996289426,0.4887640449438202,-0.023086864980925936
52,Tottenham,30,Defensive-third,2022_2023,114,233,0.3285302593659942,0.36626916524701875,-0.03773890588102452
53,Tottenham,30,Middle-third,2022_2023,275,242,0.5319148936170213,0.5306818181818181,0.0012330754352031237
54,West Ham,29,Attacking-third,2022_2023,188,293,0.3908523908523909,0.44526315789473686,-0.05441076704234599
55,West Ham,29,Defensive-third,2022_2023,146,298,0.32882882882882886,0.30904522613065327,0.019783602698175584
56,West Ham,29,Middle-third,2022_2023,216,234,0.48,0.4624145785876993,0.017585421412300684
57,Wolves,161,Attacking-third,2022_2023,214,267,0.44490644490644493,0.4307334109429569,0.014173033963488013
58,Wolves,161,Defensive-third,2022_2023,121,294,0.29156626506024097,0.2876404494382023,0.0039258156220386975
59,Wolves,161,Middle-third,2022_2023,205,198,0.5086848635235732,0.5050167224080268,0.003668141115546475
